Articolo 0, Fonte: Il Fatto Quotidiano, Link: https://www.ilfattoquotidiano.it/2021/01/21/prova-estrema-su-tiktok-bambina-di-10-anni-in-coma-a-palermo-dichiarata-la-morte-cerebrale-inchiesta-per-istigazione-al-suicidio/6074009/
Articolo 1, Fonte: Il Fatto Quotidiano, Link: https://www.ilfattoquotidiano.it/2021/01/18/vaccino-anti-covid-nuovi-ritardi-di-pfizer-nella-consegna-martedi-incontro-tra-governo-e-regioni-si-studia-meccanismo-di-solidarieta/6070212/
Articolo 2, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
Articolo 3, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/spettacoli/televisione/25960602/dritto-e-rovescio-antonio-maria-rinaldi-gaetano-pedulla-rissa-peggiore-assoluto-sparata-morti.html
Articolo 4, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135654
Articolo 5, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135655
Articolo 6, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135656
Articolo 7, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135657
Articolo 8, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135658
Articolo 9, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135659
Articolo 10, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135660
Articolo 11, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135661
Articolo 12, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135662
Articolo 13, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135663
Articolo 14, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135664
Articolo 15, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135665
Articolo 16, Fonte: Contropiano, Link: https://contropiano.org/news/internazionale-news/2021/01/22/la-cina-sanziona-gli-uomini-di-trump-0135666
Articolo 17, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135641
Articolo 18, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135642
Articolo 19, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135643
Articolo 20, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135644
Articolo 21, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135645
Articolo 22, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135646
Articolo 23, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135647
Articolo 24, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135648
Articolo 25, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135649
Articolo 26, Fonte: Contropiano, Link: https://contropiano.org/news/politica-news/2021/01/21/fca-fa-le-mascherine-ma-sono-un-disastro-0135650
Articolo 27, Fonte: Il Giornale, Link: https://www.ilgiornale.it/news/politica/qui-chi-ha-sciolto-pci-andrea-romano-e-pd-contestati-1918575.html
Articolo 28, Fonte: Espresso, Link:  http://munafo.blogautore.espresso.repubblica.it/2021/01/19/e-questa-qui-la-destra-italiana-ed-e-sempre-stata-cosi/?ref=fbpe
Articolo 29, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/politica/25954368/vaccino-luca-zaia-chiesta-pfizer-vendita-diretta-superato-governo-conte.html
Articolo 30, Fonte: Repubblica, Link: https://www.repubblica.it/cronaca/2020/12/01/news/pfizer_chiesta_l_autorizzazione_all_europa_per_il_vaccino_anti_covid_la_gran_bretagna_potrebbe_iniziare_la_campagna_nel_-276558896/
Articolo 31, Fonte: Repubblica, Link: https://www.repubblica.it/cronaca/2020/12/01/news/clochard_bruciato_nel_veronese_tre_ergastoli_uccisero_per_una_sigaretta_negata-276548319/
Articolo 32, Fonte: Repubblica, Link: https://www.repubblica.it/cronaca/2020/12/01/news/si_della_cei_le_messe_seguiranno_le_regole_anti_covid-276543224/
Articolo 33, Fonte: Repubblica, Link: https://www.repubblica.it/cronaca/2020/12/01/news/anziani_soli_possibili_deroghe_al_divieto_di_spostamento_per_incontrare_i_nonni-276538918/
Articolo 34, Fonte: Repubblica, Link: https://www.repubblica.it/cronaca/2020/12/01/news/strage_di_viareggio_i_parenti_non_ammessi_al_processo_causa_covid_scrivono_a_conte-276537628/
Articolo 35, Fonte: Repubblica, Link: https://www.repubblica.it/cronaca/2020/12/01/news/test_per_il_covid_abusivi_dai_nas_145mila_euro_di_sanzioni_ai_laboratori_irregolari-276532910/
Articolo 36, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/politica/26077241/roberto-fico-sergio-mattarella-crisi-governo-decisione-13.html
Articolo 37, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/personaggi/26076376/maria-elena-boschi-marco-travaglio-doppia-pagina-fatto-quotidiano-incubo-governo-indagata.html
Articolo 38, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/personaggi/26076673/rocco-casalino-augusto-minzolini-servizi-rai-confezionati-contro-matteo-renzi.html
Articolo 39, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/personaggi/26066214/mezz-ora-in-piu-marco-travaglio-bufera-matteo-renzi-bin-laden-torri.html
Articolo 40, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/politica/26075977/mario-monti-giuseppe-conte-roberto-fico-controllo-governo-accettare.html
Articolo 41, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
Articolo 42, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
Articolo 43, Fonte: Corriere, Link: https://www.corriere.it/scuola/medie/21_febbraio_02/banchi-rotelle-corridoi-succede-anche-roma-ma-ce-ne-hanno-consegnati-doppio-a474477e-653d-11eb-a6ae-1ce6c0f0a691.shtml
Articolo 44, Fonte: Corriere, Link: https://www.corriere.it/esteri/21_febbraio_02/vaccini-covid-caso-israele-soli-40-giorni-su-tre-vaccinato-8d6ddaa8-6548-11eb-a6ae-1ce6c0f0a691.shtml
Articolo 45, Fonte: Corriere, Link: https://corrieredelmezzogiorno.corriere.it/napoli/cronaca/21_febbraio_02/rapina-casa-capua-coppia-coniugi-ferma-due-componenti-baby-gang-hanno-15-17-anni-435e7044-6543-11eb-bd9a-957b4634f1d8.shtml
Articolo 46, Fonte: Corriere, Link: https://www.corriere.it/esteri/21_febbraio_01/robinhood-due-benefattori-finanza-democratica-investe-soldi-ricchi-9f5d389a-64ca-11eb-aad7-ece6884524fa.shtml?cx_testId=11&cx_testVariant=cx_1&cx_artPos=1#cxrecs_s
Articolo 47, Fonte: Corriere, Link: https://www.corriere.it/politica/21_febbraio_01/governo-trattativa-si-complica-nuove-condizioni-renzi-d798cf3c-64d2-11eb-aad7-ece6884524fa.shtml?cx_testId=11&cx_testVariant=cx_1&cx_artPos=0#cxrecs_s
Articolo 48, Fonte: Beppe Grillo, Link: https://www.beppegrillo.it/la-citta-foresta-intelligente-di-singapore/
Articolo 49, Fonte: Beppe Grillo, Link: https://www.beppegrillo.it/regno-unito-vuole-vietare-la-vendita-di-alimenti-legati-alla-deforestazione-illegale/
Articolo 50, Fonte: Beppe Grillo, Link: https://www.beppegrillo.it/reddito-universale-e-arrivato-il-momento/
Articolo 51, Fonte: Beppe Grillo, Link: https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
Articolo 52, Fonte: Beppe Grillo, Link: https://www.beppegrillo.it/felicita-e-lavoro/
Articolo 53, Fonte: Beppe Grillo, Link: https://www.beppegrillo.it/la-settimana-del-blog-147/
Articolo 54, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/politica/26084096/alfonso-bonafede-lucia-azzolina-due-nomi-dietro-rottura-italia-viva-voleva-loro-testa-no-m5s.html
Articolo 55, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/politica/26083720/matteo-renzi-ha-deciso-rompere-fonti-maggioranza-niente-accordo-salta-giuseppe-conte.html
Articolo 56, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/personaggi/26080151/matteo-bassetti-sotto-scorta-dinamica-minacce-morte-dopo-non-e-l-arena-mossa-prefettura.html
Articolo 57, Fonte: Libero, Link: https://www.liberoquotidiano.it/news/italia/26082778/coronavirus-bollettino-2-febbraio-morti-ricoveri-in-aumento-2-milioni-vaccinati.html
Articolo 58, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T1
Articolo 59, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T2
Articolo 60, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T3
Articolo 61, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T4
Articolo 62, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T5
Articolo 63, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T6
Articolo 64, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T7
Articolo 65, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T8
Articolo 66, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T9
Articolo 67, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T10
Articolo 68, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T11
Articolo 69, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T12
