ID_ARTICOLO,FRASI,FRASI_SOG,FRASI_OGG,FONTE,TAG_ARTICOLO
74.0,31.0,10.0,21.0,Avanti,SOG
75.0,20.0,9.0,11.0,Avanti,SOG
76.0,10.0,4.0,6.0,Avanti,OGG
77.0,19.0,7.0,12.0,Avanti,SOG
78.0,26.0,10.0,16.0,Avanti,SOG
79.0,20.0,6.0,14.0,Avanti,SOG
80.0,15.0,1.0,14.0,Avanti,OGG
81.0,21.0,3.0,18.0,ANSA,OGG
82.0,34.0,6.0,28.0,Avvenire,OGG
83.0,15.0,3.0,12.0,FascInAzione,OGG
84.0,11.0,1.0,10.0,Unità,OGG
85.0,22.0,11.0,11.0,Avvenire,SOG
86.0,16.0,3.0,13.0,Avvenire,OGG
87.0,19.0,12.0,7.0,ANSA,OGG
88.0,22.0,3.0,19.0,ANSA,OGG
89.0,11.0,0.0,11.0,FascInAzione,OGG
90.0,14.0,4.0,10.0,FascInAzione,OGG
91.0,21.0,9.0,12.0,Avvenire,SOG
92.0,19.0,4.0,15.0,Avvenire,OGG
93.0,14.0,1.0,13.0,Avvenire,OGG
94.0,26.0,7.0,19.0,ANSA,OGG
95.0,15.0,3.0,12.0,FascInAzione,SOG
96.0,13.0,9.0,4.0,FascInAzione,SOG
97.0,17.0,6.0,11.0,ANSA,OGG
98.0,22.0,4.0,18.0,ANSA,OGG
99.0,13.0,0.0,13.0,ANSA,OGG
100.0,35.0,12.0,23.0,Avvenire,OGG
101.0,17.0,3.0,14.0,FascInAzione,OGG
102.0,21.0,15.0,6.0,FascInAzione,SOG
