ID_ARTICOLO,ID_FRASE,FRASE,TAG_FRASE,TAG_ARTICOLO,FONTE,LINK
2,0,"Olivia Paladino, ecco quanti milioni di euro ha (solo in immobili): cifre sconcertanti, la fidanzata del premier ricca sfondata.",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
2,1,"Che stoccata contro Olivia Paladino, la fidanzata di Giuseppe Conte.",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
2,2,"Stoccata che viaggia su Il Tempo, dove si legge",OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
2,3,"Potrà sempre consolarsi bevendo la prossima volta che chiamerà la scorta del premier perchè inseguita dalla troupe delle Iene e quindi turbata come ha riferito il ministro degli Interni, Luciana Lamorgese.",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
2,4,E perchè mai potrà consolarsi bevendo?,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
2,5,"Presto detto: secondo quanto riporta il quotidiano diretto da Franco Bechis, risulta stando a visura catastale proprietaria di un'ampia tenuta vinicola.",OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
2,6,"Nel dettaglio, un vigneto di oltre 3mila e 500 metri quadrati.",OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
2,7,"Il vigneto, detenuto interamente dalla Paladino, si trova a Fiano Romano, località nota per la produzioni di vini.",OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
2,8,"E ancora, aggiunge Il Tempo, la Paladino risulta proprietaria al 47,5% della Agricola Monastero Santo Stefano Vecchio, un patrimonio di quasi 10 milioni di euro costituito da immobili.",OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
2,9,"Insomma, una discreta fortuna.",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
