ID_ARTICOLO,ID_FRASE,FRASE,TAG_FRASE,TAG_ARTICOLO,FONTE,LINK
75,0,"Bihac, lo scaricabarile che non salva nessuno",SOG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
75,1,"Ormai le riprese televisive e i reportages giornalistici hanno mostrato a tutto il mondo l’indegna e vergognosa situazione in cui migliaia di profughi sono ridotti a Bihac, in Bosnia Erzegovina.",SOG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
75,2,"Vedere donne e bambini, uomini di tutte le età affrontare all’aperto il gelo (le temperature toccano anche i venti gradi sottozero), camminare con scarpe di fortuna e anche senza tra le neve, dormire in tende o in campi raccolta privi di impianti igienici e di riscaldamento adeguati e spesso neanche in quelli ma all’addiaccio, hanno provocato nell’opinione pubblica europea un forte sentimento di sbigottimento e riprovazione.",OGG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
75,3,Se ne sono accorti anche i quattro europarlamentari italiani del gruppo Socialisti e Democratici che sabato e domenica hanno visitato questi territori.,OGG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
75,4,"I quattro hanno cominciato dalla Croazia, anzi volevano incominciare ma hanno trovato sul loro percorso la polizia di Zagabria che non ha permesso loro di accedere nella parte croata della foresta di Bonja, ufficialmente per la presenza di mine antiuomo ( inesistenti), probabilmente per nascondere quella parte di area, al confine con la Bosnia dove centinaia di disperati cercano di introdursi illegalmente per poi raggiungere la Slovenia e quindi l’Italia attraversando il Carso nella provincia di Trieste.",SOG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
75,5,Migranti che vengono malmenati e picchiati dai poliziotti croati (secondo denunce di varie associazioni umanitarie ma anche al centro di un’inchiesta dell’Unione Europea) e poi rispediti in Bosnia.,SOG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
75,6,"I quattro poi sono riusciti a proseguire per Bihac, dove hanno potuto vedere con i loro occhi la gravità della situazione.",OGG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
75,7,Sulla condizione disumana in cui vivono i migranti è in atto uno scaricabarile che non salva nessuno.,SOG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
75,8,La verità è che manca una vera strategia e che si vive alla giornata.,OGG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
75,9,"L’Unione Europea tramite Josep Borrell , Alto rappresentante per la politica estera e la sicurezza , se la prende con il Governo federale di Sarajevo, dicendo che non ha fatto nulla, nonostante ingenti aiuti finanziari ,per risolvere i problemi e anzi quasi lo ricatta annunciando che ciò allontanerà il cammino di adesione all’ Europa.",OGG,SOG,Avanti,http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
